Protein,A0A075F5C6,A0A075F5C6_MOUSE,57879,531,Hsf1
Protein,A0A087WPF7,AUTS2_MOUSE,138920,1261,Auts2 Kiaa0442
Protein,A0A087WPU4,A0A087WPU4_MOUSE,17718,159,Fat1
Protein,A0A087WRK1,A0A087WRK1_MOUSE,25620,222,Gm20905 Gm20814 Gm20835 Gm20850 Gm20855 Gm20869 Gm20870 Gm20883 Gm20894 Gm20896 Gm20897 Gm20903 Gm20906 Gm20908 Gm20916 Gm20920 Gm20929 Gm20931 Gm21317 Gm21366 Gm21409 Gm21477 Sly
Protein,A0A087WRT4,A0A087WRT4_MOUSE,507531,4602,Fat1
Protein,A0A087WSP5,A0A087WSP5_MOUSE,88032,755,Stat1
Protein,A0A088MLT8,IQIP1_MOUSE,61917,559,Iqcj-Schip1 Iqschfp Schip1
Protein,A0A0A6YXJ2,A0A0A6YXJ2_MOUSE,69349,626,Iqgap3
Protein,A0A0A6YXU9,A0A0A6YXU9_MOUSE,50462,442,Tgfb2
Protein,A0A0B4J1F4,ARRD4_MOUSE,44970,415,Arrdc4
